message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0243
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0238
msg_090,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_048,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0151
msg_040,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_075,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_005,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_104,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0224
msg_069,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_107,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_070,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0400;message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0227
msg_008,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0296
msg_092,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_060,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0284
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0245;message_0005
msg_030,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0115
msg_045,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_052,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0208
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_016,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0024
msg_065,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0261
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_086,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,none
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0258;message_0018
msg_094,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_029,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0095;message_0113
msg_105,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0373;message_0233
msg_002,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,none
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011;message_0242
msg_078,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_013,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_018,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0026
msg_044,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_032,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0119
msg_106,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0376
msg_006,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0097
msg_109,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0151
msg_108,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0094
msg_019,digest,personal,The message is safe casual chat with no urgent action required.,0.82,none
msg_088,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,none
msg_056,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0272;message_0033
msg_050,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0279
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,none
msg_063,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_033,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_061,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_020,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_017,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_026,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0032
msg_047,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_046,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_042,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,none
msg_079,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_098,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_037,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_007,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_085,digest,personal,The message is safe casual chat with no urgent action required.,0.82,none
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,none
msg_021,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0034
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_064,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_103,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0065
msg_031,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,none
msg_057,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_087,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,none
